category_en,item_en,category_it,item_it,category_de,item_de,category_nl,item_nl,category_es,item_es,category_pt,item_pt,category_fr,item_fr,category_zh,item_zh,category_ru,item_ru,category_ja,item_ja,category_ko,item_ko,category_ar,item_ar,category_hi,item_hi
Fruits,apple,Frutta,mela,Obst,apfel,Fruit,appel,Frutas,manzana,Frutas,maçã,Fruits,pomme,水果,苹果,Фрукты,яблоко,果物,りんご,과일,사과,فواكه,تفاح,फल,सेब
Fruits,apples,Frutta,mele,Obst,apfel,Fruit,appels,Frutas,manzanas,Frutas,maçãs,Fruits,pommes,水果,苹果,Фрукты,яблоко,果物,りんご,과일,사과,فواكه,تفاح,फल,सेब
Fruits,banana,Frutta,banana,Obst,banane,Fruit,banaan,Frutas,plátano,Frutas,banana,Fruits,banane,水果,香蕉,Фрукты,банан,果物,バナナ,과일,바나나,فواكه,موز,फल,केला
Fruits,bananas,Frutta,banane,Obst,banane,Fruit,banaans,Frutas,plátanos,Frutas,bananas,Fruits,bananes,水果,香蕉,Фрукты,банан,果物,バナナ,과일,바나나,فواكه,موز,फल,केला
Fruits,orange,Frutta,arancia,Obst,orange,Fruit,sinaasappel,Frutas,naranja,Frutas,laranja,Fruits,orange,水果,橙子,Фрукты,апельсин,果物,オレンジ,과일,오렌지,فواكه,برتقال,फल,संतरा
Fruits,oranges,Frutta,arancie,Obst,orange,Fruit,sinaasappels,Frutas,naranjas,Frutas,laranjas,Fruits,oranges,水果,橙子,Фрукты,апельсин,果物,オレンジ,과일,오렌지,فواكه,برتقال,फल,संतरा
Fruits,lemon,Frutta,limone,Obst,zitrone,Fruit,citroen,Frutas,limón,Frutas,limão,Fruits,citron,水果,柠檬,Фрукты,лимон,果物,レモン,과일,레몬,فواكه,ليمون,फल,नींबू
Fruits,lemons,Frutta,limoni,Obst,zitrone,Fruit,citroens,Frutas,limóns,Frutas,limãos,Fruits,citrons,水果,柠檬,Фрукты,лимон,果物,レモン,과일,레몬,فواكه,ليمون,फल,नींबू
Fruits,lime,Frutta,lime,Obst,limette,Fruit,limoen,Frutas,lima,Frutas,lima,Fruits,citron vert,水果,青柠,Фрукты,лайм,果物,ライム,과일,라임,فواكه,لايم,फल,लाइम
Fruits,limes,Frutta,limi,Obst,limette,Fruit,limoens,Frutas,limas,Frutas,limas,Fruits,citron verts,水果,青柠,Фрукты,лайм,果物,ライム,과일,라임,فواكه,لايم,फल,लाइम
